part_id,vehicle_id,fitment,adapter_notes,source_url,confidence,evidence
2-0-fork,79bike-falcon-pro,direct,,,high,Compatible Models: 79Bike Falcon Pro
72-v-35-ah,79bike-falcon-pro,direct,,,high,Compatible Models: 79Bike Falcon Pro
dunlop-mx33-70-100-19,79bike-falcon-pro,platform,Verify crown/swingarm clearance,https://revrides.com/products/dunlop-geo-max-mx33-for-surron-e-ride-pro-talaria-and-more,medium,REVRides MX33 page fitment list; 70/100-19 called out as e-moto size
dunlop-mx33-90-100-16,79bike-falcon-pro,platform,16in rear conversion size,https://revrides.com/products/dunlop-geo-max-mx33-for-surron-e-ride-pro-talaria-and-more,medium,REVRides MX33 page lists 90/100-16 among e-moto sizes
fastace-four-piston-kit,79bike-falcon-pro,platform,Power-off sensor only on Talaria MX3/MX4; others without cut-off,https://eoffroadparts.com/products/hydraulic-disc-brakes-kit-for-talaria-mx3-r-mx4-xxx-segway-x160-x260-sur-ron-light-bee-x-79-bikes-e-ride-pro-ss,medium,"Listing: Talaria MX3/MX4/XXX, Light Bee X, X160/X260, 79Bike Falcon M, E Ride Pro-SS"
gritshift-heavy-hitter-lightning-stop,79bike-falcon-pro,adapter,Bracket+rotor only; needs Brembo P32/P34 + Magura/Brembo master. Talaria spacer included.,https://revrides.com/products/heavy-hitter-lightning-stop-mx-conversion-big-brake-kit,medium,"REVRides fitment: Sur Ron LBX, Segway X260/X160, Talaria MX3/MX4/XXX, Eride Pro/SS, 79bike Falcon-M"
shinko-241-275-19,79bike-falcon-pro,platform,19in front/rear size; confirm rim width. Sold each.,https://revrides.com/products/shinko-241-for-surron-e-ride-pro-talaria-and-more,medium,REVRides fitment list includes these e-moto models; size 2.75-19 PN 87-4446
shinko-241-300-16,79bike-falcon-pro,platform,16in rear — typically a 19/16 conversion not stock 19/19 Ultra Bee,https://revrides.com/products/shinko-241-for-surron-e-ride-pro-talaria-and-more,medium,REVRides same platform list; size 3.00-16 PN 87-4441
tb-moto-brake-caliper-bracket-front,79bike-falcon-pro,adapter,Moto caliper + 240mm moto rotor. SS 2.0 only with Fastace fork.,https://tbelectricmoto.com/products/moto-brake-conversion-kit-front-caliper-mounting-bracket,high,TB Electric front bracket fitment list
volar-sport-full-brake-kit,79bike-falcon-pro,adapter,Order Surron vs Talaria fitment. E-Ride SS 2.0 older RST fork has own adapter; Fastace uses Surron. 14-21in wheels.,https://revrides.com/products/volar-sport-full-brake-kit-front-rear-for-e-ride-pro-sur-ron-talaria-more,high,REVRides bike fitment list names these platforms and Surron vs Talaria mount brackets
warp9-17x250-lbx-eride-79bike,79bike-falcon-pro,direct,Supermoto 17x2.50 both ends,https://warp9racing.com/products/surron-light-bee-eride-pro-s-ss-2-0-ventus-79-bike-falcon-19-16-wheel-set-copy-1,high,Official: same platform list as 19/16 LBX/Eride set
warp9-18-21-surron-eride,79bike-falcon-pro,direct,21in fork clearance still required; NOT Talaria,https://chargedcycleworks.com/products/18-21-complete-wheel-tire-combo-warp9-for-surron-segway,high,"Charged: E-Ride Pro SS 1.0/2.0, Falcon 79. NOT COMPATIBLE WITH TALARIA"
warp9-19-16-lbx-eride-79bike,79bike-falcon-pro,direct,Bare wheel reuses OEM rotor/sprocket bolt pattern,https://warp9racing.com/products/lbx-eride-pro-19-16-wheel-set,high,"Official: spec'd for SurRon Light Bee X, E Ride Pro S / SS / 2.0, Ventus, 79Bike Falcon"
warp9-220mm-caliper-adapter,79bike-falcon-pro,platform,Dealer fitment list; official page does not enumerate these,https://revrides.com/products/warp-9-220mm-rear-brake-rotor-adapter,medium,REVRides fitment list for Warp 9 220mm rear adapter
warp9-rear-420-sprocket-54t,79bike-falcon-pro,direct,54T needs ~110-link chain; stock chain only to 48T,https://gritshift.com/products/warp-9-e-bike-rear-sprocket,high,"GritShift fitment: Sur Ron LBX/S, Segway X160/X260, Talaria MX3/MX4, XXX, E Ride Pro-S/SS/2.0, 79Bike Falcon Pro/GT, Rawr Mantis X/Pro"
warp9-rear-420-sprocket-58t,79bike-falcon-pro,direct,58T typically ~112-link on LBX/Sting,https://gritshift.com/products/warp-9-e-bike-rear-sprocket,high,"GritShift fitment: Sur Ron LBX/S, Segway X160/X260, Talaria MX3/MX4, XXX, E Ride Pro-S/SS/2.0, 79Bike Falcon Pro/GT, Rawr Mantis X/Pro"
warp9-rear-420-sprocket-64t,79bike-falcon-pro,direct,64T typically ~116-link on LBX/Sting,https://gritshift.com/products/warp-9-e-bike-rear-sprocket,high,"GritShift fitment: Sur Ron LBX/S, Segway X160/X260, Talaria MX3/MX4, XXX, E Ride Pro-S/SS/2.0, 79Bike Falcon Pro/GT, Rawr Mantis X/Pro"
warp9-steerlock-stem-lock,79bike-falcon-pro,direct,Falcon S needs Warp 9 bar clamps. Two versions: fender-mount vs no-fender.,https://www.warp9racing.com/product/surron-talaria-stem-lock/,high,"Official tags: Light Bee, Segway, Sting MX3, Sting R-MX4, XXX, Falcon M/S"
formula-e-moto-brakes,altis-sigma-mx,incompatible,Factory DOT brake bikes,https://chargedcycleworks.com/products/formula-e-moto-brakes,high,"Charged: Does NOT fit E Ride Pro 3.0/SR, Talaria MX5, Altis Sigma"
warp9-220mm-caliper-adapter,altis-sigma-mx,platform,Dealer fitment list; official page does not enumerate these,https://revrides.com/products/warp-9-220mm-rear-brake-rotor-adapter,medium,REVRides fitment list for Warp 9 220mm rear adapter
