part_id,category,subcategory,brand,name,product_url,price_usd,availability,voltage,key_spec,notes,source
72-v-35-ah,battery,,,72 V / 35 Ah,,,,,,"junk: unnamed generic voltage/capacity spec, not a product",batteries
charged-ultra-bee-72-v-76-ah,battery,,Charged,Charged Ultra Bee 72 V 76 Ah,https://www.ewatt.cc/list_14/77.html,3770,Sold out,72 V,Voltage: 72 V | Battery Amp: 76 Ah | Battery Wattage: 5472,,ewatt.cc
charged-ultra-bee-80-v-76-ah,battery,,Charged,Charged Ultra Bee 80 V 76 Ah,https://www.ewatt.cc/list_14/80.html,3400,Sold out,80 V,Voltage: 80 V | Battery Amp: 76 Ah | Battery Wattage: 6080,,ewatt.cc
charged-ultra-bee-80-v-76-ah-battery-plus-lid-plus-charger-bundle,battery,bundle,Charged,Ultra Bee 80 V 76 Ah Battery + lid + charger Bundle,https://chargedcycleworks.com/products/ultra-bee-80v-76ah-battery-lid-charger-bundle-ewatt,3600,Sold out,80 V,Voltage: 80 V | Battery Amp: 76 Ah | Battery Wattage: 6080 | Peak Power: 48 kW | Continuous Power: 24 kW | Weight (kg): 56.0,,chargedcycleworks.com
nab-72-v-40-5-ah-mx-race-battery,battery,,NAB,NAB 72 V 40.5 Ah MX Race Battery,https://chargedcycleworks.com/products/nab-72v-mx-race-battery,2399,Sold out,72 V,Voltage: 72 V | Battery Amp: 40.5 Ah | Battery Wattage: 2916 | Peak Power: 29 kW (10 s burst) | Continuous Power: 19 kW,,chargedcycleworks.com
nab-72-v-42-ah-expedition,battery,,NAB,NAB 72 V 42 Ah Expedition,,2334,Sold out,72 V,Voltage: 72 V | Battery Amp: 42 Ah | Battery Wattage: 3024,No live 42Ah Expedition page; CCW Expedition listing is 57Ah only,batteries
nab-72-v-57-ah-nova,battery,,NAB,NAB 72 V 57 Ah Nova,,2584,Sold out,72 V,Voltage: 72 V | Battery Amp: 57 Ah | Battery Wattage: 4104,No live 72V Nova page; live Nova is 76V 57Ah,batteries
nab-72-v-mx-race-57-ah,battery,,NAB,NAB 72 V MX Race (57 Ah),,2399,Sold out,72 V,Voltage: 72 V | Battery Amp: 57 Ah | Battery Wattage: 4104,No 57Ah MX Race page; live MX Race is 40.5Ah,batteries
nab-72v-42ah-street-pack-battery-for-surron-light-bee,battery,,NAB,NAB 72V 42Ah Street Pack battery for Surron Light Bee,https://chargedcycleworks.com/products/nab-72v-42ah-street-pack-battery-for-surron-light-bee,2250,Sold out,72 V,Voltage: 72 V | Battery Amp: 42 Ah | Battery Wattage: 3024,merged nab-72-v-42-ah-street-pack (same 72V 42Ah Street Pack $2250 / 3024Wh),chargedcycleworks.com
nab-72v-57ah-expedition-battery-for-surron-light-bee,battery,,NAB,NAB 72V 57Ah Expedition battery for Surron Light Bee,https://chargedcycleworks.com/products/nab-72v-57ah-expedition-battery-for-surron-light-bee,2334,Sold out (lead time ~3 weeks),72 V,Voltage: 72 V | Battery Amp: 57 Ah | Battery Wattage: 4218 | Peak Power: 20.5 kW | Continuous Power: 12.3 kW | Weight (kg): 39.0,,chargedcycleworks.com
nab-72v-57ah-mercury-battery-for-talaria-mx3-mx4,battery,,NAB,NAB 72V 57Ah Mercury battery for Talaria MX3/MX4,https://chargedcycleworks.com/products/nab-72v-mercury-57ah,2365,In stock (2-3 weeks),72 V,Voltage: 72 V | Battery Amp: 57 Ah | Battery Wattage: 4218 | Peak Power: 20.5 kW | Continuous Power: 12.3 kW | Weight (kg): 40.0,merged nab-72-v-57-ah-mercury (same 72V 57Ah Mercury $2365),chargedcycleworks.com
nab-76-v-57-ah-nova-battery-talaria-and-e-ride-pro,battery,,NAB,NAB 76 V 57 Ah Nova Battery (Talaria & E-Ride Pro),https://chargedcycleworks.com/products/nab-76v-57ah-nova-battery-for-talaria-and-e-ride-pro,2584,In stock (lead ≤ 2 weeks),76 V,Voltage: 76 V | Battery Amp: 57 Ah | Battery Wattage: 4310 | Peak Power: 21.6 kW | Continuous Power: 13 kW | Weight (kg): 41.0,,chargedcycleworks.com
talaria-xxx-74v,battery,,Talaria,Talaria XXX 74V,https://chargedcycleworks.com/products/talaria-xxx-74v-battery,1800,Out-of-stock,74 V (max charge to approx. 86 V),Voltage: 74 V (max charge to approx. 86 V) | Battery Amp: 44 Ah | Battery Wattage: 3330 | Peak Power: 30 kW (15-s burst) | Continuous Power: 16 kW | Weight (kg): 16.0,,chargedcycleworks.com
vtb-battery-evo-lite-72-v-45-ah,battery,,VTB,VTB Battery EVO Lite (72 V 45 Ah),,2699,Limited availability,72 V,Voltage: 72 V | Battery Amp: ~3240 Wh (72V × 45Ah) | Battery Wattage: 3240 | Peak Power: ~20 kW (inferred) | Continuous Power: ~15.8 kW (inferred) | Weight (kg): 16.5,No dedicated Evo Lite 45Ah product URL; 45Ah mentioned only as copy on 50Ah pages,batteries
vtb-evo-gt-72v-50ah-for-surron-light-bee,battery,,VTB,VTB Evo GT 72V 50Ah (for Surron Light Bee),https://chargedcycleworks.com/products/vtb-battery-for-surron-light-bee-x,2899,Out-of-stock,72 V,"Voltage: 72 V | Battery Amp: 50 Ah | Battery Wattage: 3600 | Peak Power: 32 kW peak (550 A for 10 s, set to 400 A) | Continuous Power: 19.2 kW / 250 A",,chargedcycleworks.com
vtb-evo-plus-72v-50ah-for-surron-light-bee,battery,,VTB,VTB Evo Plus 72V 50Ah (for Surron Light Bee),https://ventusonebike.com/shop/vtb-battery-for-surron-light-bee-evo-plus-vtb7250-5c-qf/,2499,Out-of-stock,72 V,"Voltage: 72 V | Battery Amp: 50 Ah | Battery Wattage: 3600 | Peak Power: 20.7 kW peak (550 A for 10 s, set to 400 A) | Continuous Power: 15.3 kW / 200 A | Weight (kg): 18.2",,ventusonebike.com
ewatt-60-v-53-ah-battery-for-talaria-sting-ewatt,battery,,eWatt,60 V 53 Ah Battery for Talaria Sting (eWatt),https://www.ewatt.cc/list_13/39.html,,In stock/backorder,60V,Voltage: 60V | Battery Amp: 53 Ah | Battery Wattage: 3180 | Peak Power: 18-24 kW | Continuous Power: ~9.5 kW | Weight (kg): 17.4,,ewatt.cc
ewatt-60-v-53-ah-light-bee,battery,,eWatt,eWatt 60 V 53 Ah (Light Bee),https://www.ewatt.cc/product/33.html,2000,In stock,60 V,Voltage: 60 V | Battery Amp: 53 Ah | Battery Wattage: 3159,merged ewatt-60-v-53-ah-battery-for-surron-light-bee (same eWatt L6053 60V 53Ah Light Bee),ewatt.cc
ewatt-60-v-65-ah-light-bee,battery,,eWatt,eWatt 60 V 65 Ah (Light Bee),https://www.ewatt.cc/product/31.html,2800,In stock,60 V,Voltage: 60 V | Battery Amp: 65 Ah | Battery Wattage: 3900 | Peak Power: 19 kW | Weight (kg): 19.5,,ewatt.cc
ewatt-72-v-42-ah-sur-ron-lbx,battery,,eWatt,eWatt 72 V 42 Ah (Sur-Ron LBX),https://ewatt.cc/product/50.html,2390,In stock,72 V,Voltage: 72 V | Battery Amp: 42 Ah | Battery Wattage: 3024 | Peak Power: 22 kW | Weight (kg): 17.5,,ewatt.cc
ewatt-72-v-42-ah-talaria-sting,battery,,eWatt,eWatt 72 V 42 Ah (Talaria Sting),https://ewatt.cc/list_13/60.html,2000,In stock,72 V,Voltage: 72 V | Battery Amp: 42 Ah | Battery Wattage: 3024 | Peak Power: 28 kW | Continuous Power: 16 kW | Weight (kg): 19.0,merged ewatt-72-v-42-ah-battery-for-talaria-sting (same eWatt T7242H 72V 42Ah Talaria),ewatt.cc
ewatt-72-v-63-ah-light-bee,battery,,eWatt,eWatt 72 V 63 Ah (Light Bee),https://ewatt.cc/product/61.html,3000,In stock,72 V,Voltage: 72 V | Battery Amp: 63 Ah | Battery Wattage: 4536 | Peak Power: 28 kW | Weight (kg): 19.7,,ewatt.cc
ewatt-74-v-45-ah-light-bee,battery,,eWatt,eWatt 74 V 45 Ah (Light Bee),https://darwinev.com/products/ewatt-74v-45ah-hv6-battery-upgrade-surron-light-bee,2200,In stock,74 V,Voltage: 74 V | Battery Amp: 45 Ah | Battery Wattage: 3330 | Peak Power: 30 kW | Weight (kg): 17.0,,darwinev.com
ewatt-81-v-45-ah-battery-for-e-ride-pro-bundle,battery,bundle,eWatt,eWatt 81 V 45 Ah Battery for E-Ride Pro - Bundle,https://chargedcycleworks.com/products/ewatt-81v-45ah-battery-for-e-ride-pro,2800,"Sold out at CCW (~US $2,800)",81.4 V,Voltage: 81.4 V | Battery Amp: 45 Ah | Battery Wattage: 3663 | Peak Power: ~40 kW | Continuous Power: ~20 kW (inferred) | Weight (kg): 40.8,,chargedcycleworks.com
ewatt-81-4-v-45-ah,battery,,eWatt,eWatt 81.4 V 45 Ah,https://www.ewatt.cc/product-7/67.html,2800,In stock,81.4 V,Voltage: 81.4 V | Battery Amp: 45 Ah | Battery Wattage: 3663 | Peak Power: 32-40 kW | Weight (kg): 18.5,,ewatt.cc
fastace-four-piston-kit,brake,4-piston kit,FastAce,Four-Piston Hydraulic Brake Kit,https://eoffroadparts.com/products/hydraulic-disc-brakes-kit-for-talaria-mx3-r-mx4-xxx-segway-x160-x260-sur-ron-light-bee-x-79-bikes-e-ride-pro-ss,305,sold_out,,4-piston open hydraulic; 160/180/203/220mm discs; ~2.3mm pad,Listed: MX3 / MX4 / XXX / Light Bee X / X160 / X260 / 79Bike Falcon M / E Ride Pro-SS. Power-off sensor only on Talaria MX3/MX4.,eoffroadparts.com
formula-e-moto-brakes,brake,4-piston kit,Formula,E-Moto Brake (Cura 4 + moto master),https://chargedcycleworks.com/products/formula-e-moto-brakes,279,available,,DOT 4; moto master + 4-piston Cura 4; 203/220mm mineral-oil bikes,"Charged: mineral-oil bikes only — Light Bee, Talaria MX3/MX4, E Ride Pro S and SS 2.0, Ventus. Does NOT fit factory DOT bikes (E Ride Pro 3.0/SR, Talaria MX5, Altis Sigma). No e-brake sensor.",chargedcycleworks.com
gritshift-heavy-hitter-lightning-stop,brake,moto conversion,GritShift,Heavy Hitter Lightning Stop MX Conversion Big Brake Kit,https://www.dhmotoring.com/products/heavy-hitter-lightning-stop-mx-conversion-big-brake-kit,279.89,preorder,,245mm x 4mm rotor + 7075 shark-fin bracket for Brembo P32/P34,"REVRides fitment list includes LBX, X260/X160, MX3/MX4/XXX, Eride Pro/SS, 79Bike Falcon-M, Rerode R1. Needs Magura/Brembo master separately.",dhmotoring.com
jxr-big-brake-talaria,brake,moto conversion,JXR,Big Brake Conversion Kit for Talaria,https://www.mxbits.com/products/jxr-big-brake-conversion-kit-for-talaria,,available,,230mm F / 220mm R x 3mm floating; Ultra Bee-style calipers + brackets,"Vendor: Talaria Sting models. Tested FastAce 2.0/3.0, Fox 40, RFLoXa; claims standard Talaria suspension. Unbranded UB-style brakes.",mxbits.com
magura-mt5,brake,4-piston MTB,Magura,MT5 Brake System (one side),https://surronoffroadusa.com/product/magura-mt5-brake-system-1-side-front-or-rear/,,available,,4-piston hydraulic MTB; mineral oil family,"Vendor: Sur Ron, Talaria, Eride Pro and similar. Flip for either side. Aftermarket MTB brakes typically lose e-brake light sensors.",surronoffroadusa.com
tb-moto-brake-caliper-bracket-front,brake,moto adapter,TB Electric,Moto Brake Front Caliper Mounting Bracket,https://tbelectricmoto.com/products/moto-brake-conversion-kit-front-caliper-mounting-bracket,43,available,,Adapts OEM mounts to moto caliper + 240mm moto rotor,"Official: MX3/MX4, XXX/XXX Pro, E-Ride Pro S, E-Ride Pro SS 2.0 with Fastace fork, Light Bee, 79Bike Falcon M. DOES NOT FIT MX5.",tbelectricmoto.com
volar-sport-full-brake-kit,brake,moto 4-piston kit,Volar Sport,Full Brake Kit Front & Rear,https://revrides.com/products/volar-sport-full-brake-kit-front-rear-for-e-ride-pro-sur-ron-talaria-more,,available,,250mm F / 228mm R floating 3mm; 4-piston moto calipers,"REVRides: E-Ride Pro S/SS 2.0 (Fastace=Surron fitment; older RST has own adapter), Talaria MX3/MX4/XXX (order Talaria), Light Bee X, Rawrr Mantis, 79Bike Falcon, X160/X260.",revrides.com
warp9-220mm-caliper-adapter,brake,rotor adapter,Warp 9,Surron/Talaria 220mm Caliper Adapter Spacer Kit,https://warp9racing.com/products/surron-talaria-220mm-caliper-adapter-spacer-kit-collective,14,available,,OEM 203mm to 220mm; 2 spacers + longer bolts; SKU S-R220SPACER-2,"Official: OEM brown/green calipers, Hope, Hayes; front and rear. Title is Surron/Talaria. REVRides lists Light Bee platform + Talaria + Eride + 79Bike + Rawrr + Altis + MX5.",warp9racing.com
warp9-ultra-bee-rotor-240-fixed,brake,rotor,Warp 9,Ultra Bee 240mm Fixed Rotor,https://warp9racing.com/products/surron-ultra-bee-rotors,49,available,,240x3.20mm fixed wave; OEM Ultra or Warp 9 hub; F or R,Official Ultra Bee only. SKU RO-114 family.,warp9racing.com
warp9-ultra-bee-rotor-260-float,brake,rotor,Warp 9,Ultra Bee 260mm Floating Rotor,https://warp9racing.com/products/surron-ultra-bee-rotors,,available,,260x3.20mm floating front only,Official Ultra Bee front only. Requires Warp 9 caliper adapter S-FB260.,warp9racing.com
charged-fast-charger-for-charged-cycle-works-batteries,charger,,Charged,Fast Charger for Charged Cycle Works Batteries,https://chargedcycleworks.com/products/fast-chargers-for-charged-cycle-works-batteries-up-to-150-faster-charging,160,In stock (sale),"60V, 72V, 80V, 74V","Voltage: 60V, 72V, 80V, 74V | Battery Amp: 15A | Peak Power: 1,080 W | Continuous Power: 1,080 W",,chargedcycleworks.com
gritshift-60v-2-amp-portable-charger,charger,,GritShift,GritShift 60V 2 Amp Portable Charger,https://gritshift.com/products/gritshift-60v-2-amp-portable-charger-sur-ron-segway,49.89,Available; check stock,67.2 V DC,Voltage: 67.2 V DC | Peak Power: ~135 W | Continuous Power: ~135 W | Weight (kg): 0.8,,gritshift.com
nab-72-v-adjustable-charger,charger,,NAB,NAB 72 V Adjustable Charger,https://chargedcycleworks.com/products/nab-72v-adjustable-charger,219,In stock via Charged Cycle Works,72V or 76V,Voltage: 72V or 76V | Battery Amp: 13A or 10A,,chargedcycleworks.com
asi-bac8000,controller,,ASI,BAC8000,https://www.acceleratedsystems.com/products/electric-motor-controllers/bac8000,,Not found on the site-availability & MOQ unknown,24 - 72 V nominal (up to ~84 V peak),Voltage Range: 24 - 72 V nominal (up to ~84 V peak) | Peak Phase Current: 700 A (up to 860 A per some datasheets) | Max Power Output: ~32-54 kW in real-world use | Compatible Motors: Note: BAC8000 controller may touch skid plate-Talaria with aftermarket controllers,,acceleratedsystems.com
ebmx-x-9000-v3,controller,,EBMX,EBMX X-9000 V3,https://chargedcycleworks.com/products/ebmx-x-9000-v3-kit,1199,"In stock - assembly kits and the V3 version are available; MOQ not specified, standard online purchase applies",48-110 V,"Voltage Range: 48-110 V | Peak Phase Current: 1,000 A continuous,1,600 A burst | Max Power Output: 50 kW continuous (60 kW peak) | Compatible Motors: Compatible with SurRon Light Bee,Ultra Bee; Talaria Sting MX3/MX4; EBMX XLB-60 (chargedcycleworks.com,chargedcycleworks.com)",,controllers
ko-moto-rush-series-controller,controller,,KO-Moto,KO-Moto Rush Series Controller,https://www.ko-moto.com/product-page/ko-factory-spec-rush-controller,955,In stock - MOQ: 1,40 V-100 V (operational 48-100 V),"Voltage Range: 40 V-100 V (operational 48-100 V) | Peak Phase Current: 1800 A phase; 600 A line | Max Power Output: 60 kW peak | Compatible Motors: Drop-in replacement for Surron,Segway OR,Talaria platforms",,ko-moto.com
torp-tc1000,controller,,Torp,Torp TC1000,https://chargedcycleworks.com/products/torp-tc1000-controller,,"Sold out - sold out on multiple listings (Light Bee, Ultra Bee variants); MOQ not available",60-84 V nominal (OEM to aftermarket)(supports up to 80 V systems),Voltage Range: 60-84 V nominal (OEM to aftermarket)(supports up to 80 V systems) | Peak Phase Current: 700 A peak | Max Power Output: 17 kW OEM bike; up to 50 kW on aftermarket battery | Compatible Motors: Surron Light Bee/X-260; SurRon Ultra Bee; Talaria MX3/MX4; supports OEM & aftermarket batteries,,controllers
torp-tc1000-controller-for-surron-light-bee-and-segway-x260,controller,,Torp,Torp TC1000 Controller (for Surron Light Bee & Segway X260),https://chargedcycleworks.com/products/torp-tc1000-controller-for-surron-light-bee-and-segway-x260-1,,Out of stock / MOQ not specified,60-80 V nominal (≈92.4 V peak),"Voltage Range: 60-80 V nominal (≈92.4 V peak) | Peak Phase Current: 1000 A | Max Power Output: 50 kW | Compatible Motors: Surron Light Bee*,Ultra Bee,Segway X260,Talaria MX3/4; supports OEM and aftermarket 72 V batteries; pairs well with Torp TM series motors",,controllers
torp-tc1000-controller-for-talaria-mx3-mx4-r,controller,,Torp,Torp TC1000 Controller for Talaria MX3/MX4/R,https://chargedcycleworks.com/products/torp-tc1000-controller-for-talaria-sting-mx3-mx4-r,1350,"Sold out - sold per unit, no MOQ specified",Up to ~92.4 V (80 V nominal),"Voltage Range: Up to ~92.4 V (80 V nominal) | Peak Phase Current: 1,000 A | Max Power Output: 50 kW nominal (8 - 11.5 kW real) | Compatible Motors: Compatible with stock Talaria and aftermarket batteries (60-80 V); designed specifically for Talaria MX3/MX4/R",,controllers
torp-tc500,controller,,Torp,Torp TC500,https://chargedcycleworks.com/products/torp-tc500-controller,,Sold out - no stock for foreseeable future; MOQ not available,20-90 V,Voltage Range: 20-90 V | Peak Phase Current: 500 A peak | Max Power Output: Up to 25 kW (17 kW continuous OEM bike) | Compatible Motors: Surron Light Bee/Segway X-260; Talaria Sting MX3/MX4; maintains OEM motor,,controllers
torp-tc500-controller-for-talaria-sting-mx4,controller,,Torp,Torp TC500 Controller (for Talaria Sting MX4),https://chargedcycleworks.com/products/torp-tc500-controller-for-talaria-sting-mx4,,Out of stock / MOQ not specified,60-72 V nominal (up to 90 V),Voltage Range: 60-72 V nominal (up to 90 V) | Peak Phase Current: 500 A | Max Power Output: 25 kW | Compatible Motors: Specifically for Surron Light Bee and Talaria Sting MX4,,controllers
ebmx-x-9000-controller-sw102-display-v2,display,,EBMX,EBMX X-9000 Controller SW102 Display (V2),https://chargedcycleworks.com/products/x-9000-controller-sw102-display,85,Sold out - MOQ 1 (individual unit only),40-100 V (working 48-93 V),Voltage Range: 40-100 V (working 48-93 V) | Peak Phase Current: 1000 A (burst 1500 A) | Max Power Output: Est. up to ~100 kW w/ 1000 A × 100 V | Compatible Motors: EBMX X-9000 controller systems,,controllers
torp-full-color-display,display,color,Torp,Torp Full-Color Display,https://chargedcycleworks.com/products/torp-full-color-display,235,Sold out - MOQ 1 (individual unit only),Works with 20-90 V controllers (e.g. TC500),"Voltage Range: Works with 20-90 V controllers (e.g. TC500) | Peak Phase Current: Supports up to 500 A phase on TC500 | Max Power Output: Paired with TC500’s 25 kW max | Compatible Motors: Torp TC500 & TC1000 controllers (for SurRon Light Bee,Ultra Bee,Talaria MX3/MX4) (chargedcycleworks.com)",,controllers
ebg-xxx-primary-pulley-belt-kit,drivetrain,primary belt kit,EBG,Talaria XXX Primary Drive Front & Rear Pulley V2,https://ebikegarage.shop/product/talaria-xxx-primary-drive-front-rear-pulley-v2/,,available,,304 SS front pulley; 7075 rear; 18mm or 20mm carbon belt (stock 16mm),"Official: Talaria XXX all years, direct OEM replacement. Confirm belt width. Wholesale page also lists a wider-compat kit — this V2 SKU is XXX-only.",ebikegarage.shop
